Elapsed_Time_s,Timestamp,T1_C,T2_C,Skew_ms,Delta_T_C
17.737,2026-03-06T12:07:49.112199,-9.4688,-9.2578,0.854,-0.2109
17.959,2026-03-06T12:07:49.334668,-9.4688,-9.2578,0.854,-0.2109
18.196,2026-03-06T12:07:49.571750,-9.4766,-9.2578,0.854,-0.2188
18.437,2026-03-06T12:07:49.812289,-9.4688,-9.2578,0.855,-0.2109
18.674,2026-03-06T12:07:50.050057,-9.4688,-9.2578,0.854,-0.2109
18.920,2026-03-06T12:07:50.295222,-9.4688,-9.2578,0.854,-0.2109
19.149,2026-03-06T12:07:50.525063,-9.4688,-9.2578,0.854,-0.2109
19.380,2026-03-06T12:07:50.755475,-9.4688,-9.2578,0.854,-0.2109
19.617,2026-03-06T12:07:50.992850,-9.4688,-9.2578,0.854,-0.2109
19.858,2026-03-06T12:07:51.233830,-9.4609,-9.2578,0.854,-0.2031
20.100,2026-03-06T12:07:51.475934,-9.4688,-9.2578,0.854,-0.2109
20.325,2026-03-06T12:07:51.700478,-9.4688,-9.2578,0.854,-0.2109
20.564,2026-03-06T12:07:51.940056,-9.4688,-9.2578,0.854,-0.2109
20.816,2026-03-06T12:07:52.191990,-9.4609,-9.2578,0.824,-0.2031
21.052,2026-03-06T12:07:52.427601,-9.4688,-9.2578,0.854,-0.2109
21.285,2026-03-06T12:07:52.660396,-9.4688,-9.2578,0.854,-0.2109
21.510,2026-03-06T12:07:52.885114,-9.4609,-9.2500,0.854,-0.2109
21.750,2026-03-06T12:07:53.125626,-9.4688,-9.2578,0.977,-0.2109
21.988,2026-03-06T12:07:53.363479,-9.4609,-9.2500,0.854,-0.2109
22.226,2026-03-06T12:07:53.601128,-9.4609,-9.2500,0.854,-0.2109
22.465,2026-03-06T12:07:53.840128,-9.4609,-9.2578,0.854,-0.2031
22.687,2026-03-06T12:07:54.062698,-9.4609,-9.2500,0.854,-0.2109
22.937,2026-03-06T12:07:54.312928,-9.4609,-9.2500,0.854,-0.2109
23.181,2026-03-06T12:07:54.556905,-9.4688,-9.2500,0.854,-0.2188
23.414,2026-03-06T12:07:54.789154,-9.4688,-9.2500,0.854,-0.2188
23.652,2026-03-06T12:07:55.027513,-9.4609,-9.2500,0.854,-0.2109
23.875,2026-03-06T12:07:55.250291,-9.4609,-9.2500,0.977,-0.2109
24.117,2026-03-06T12:07:55.492505,-9.4609,-9.2578,0.854,-0.2031
24.358,2026-03-06T12:07:55.733753,-9.4688,-9.2500,0.854,-0.2188
24.605,2026-03-06T12:07:55.980742,-9.4688,-9.2500,0.824,-0.2188
24.840,2026-03-06T12:07:56.215397,-9.4609,-9.2500,0.854,-0.2109
25.056,2026-03-06T12:07:56.431863,-9.4609,-9.2500,0.854,-0.2109
25.295,2026-03-06T12:07:56.670788,-9.4609,-9.2500,0.854,-0.2109
25.536,2026-03-06T12:07:56.911534,-9.4609,-9.2500,0.854,-0.2109
25.778,2026-03-06T12:07:57.153694,-9.4609,-9.2422,0.854,-0.2188
26.019,2026-03-06T12:07:57.394782,-9.4609,-9.2422,0.854,-0.2188
26.240,2026-03-06T12:07:57.615604,-9.4609,-9.2422,0.854,-0.2188
26.490,2026-03-06T12:07:57.866057,-9.4609,-9.2422,0.854,-0.2188
26.720,2026-03-06T12:07:58.095991,-9.4609,-9.2422,0.854,-0.2188
26.962,2026-03-06T12:07:58.337420,-9.4609,-9.2500,0.854,-0.2109
27.203,2026-03-06T12:07:58.578569,-9.4531,-9.2422,0.824,-0.2109
27.423,2026-03-06T12:07:58.799081,-9.4609,-9.2344,0.854,-0.2266
27.661,2026-03-06T12:07:59.037082,-9.4609,-9.2422,0.854,-0.2188
27.903,2026-03-06T12:07:59.278615,-9.4531,-9.2422,0.854,-0.2109
28.149,2026-03-06T12:07:59.524685,-9.4531,-9.2344,0.854,-0.2188
28.389,2026-03-06T12:07:59.764998,-9.4531,-9.2422,0.854,-0.2109
28.602,2026-03-06T12:07:59.977977,-9.4531,-9.2344,0.854,-0.2188
28.837,2026-03-06T12:08:00.212326,-9.4531,-9.2422,0.885,-0.2109
29.074,2026-03-06T12:08:00.449726,-9.4531,-9.2422,0.885,-0.2109
29.311,2026-03-06T12:08:00.686238,-9.4609,-9.2344,0.855,-0.2266
29.551,2026-03-06T12:08:00.926650,-9.4531,-9.2422,0.854,-0.2109
29.775,2026-03-06T12:08:01.150616,-9.4531,-9.2344,0.854,-0.2188
30.018,2026-03-06T12:08:01.393987,-9.4531,-9.2344,0.854,-0.2188
30.265,2026-03-06T12:08:01.641009,-9.4531,-9.2344,0.854,-0.2188
30.500,2026-03-06T12:08:01.875320,-9.4531,-9.2422,0.854,-0.2109
30.734,2026-03-06T12:08:02.109909,-9.4531,-9.2344,0.854,-0.2188
30.958,2026-03-06T12:08:02.333165,-9.4531,-9.2344,0.854,-0.2188
31.199,2026-03-06T12:08:02.574475,-9.4531,-9.2344,0.854,-0.2188
31.440,2026-03-06T12:08:02.815792,-9.4531,-9.2344,0.854,-0.2188
31.678,2026-03-06T12:08:03.053292,-9.4453,-9.2266,0.855,-0.2188
